Dispute Id,Member Id,Member Name,Buyer Id,Custom Id,Buyer Name,Buyer Type,Due Id,Comment,Dispute Reason,Dispute Raised At,Action,Action Taken At
1230,"3555","MAHESH PRIVATE LIMITED",69524,"0","contours furniture system","BUSINESS",13674708,"","Other (Please specify)",Tue May 26 2026 00:00:00 GMT+0530 (India Standard Time),"-","-"
1229,"3555","MAHESH PRIVATE LIMITED",69524,"0","contours furniture system","BUSINESS",13674708,"","Other (Please specify)",Tue May 26 2026 00:00:00 GMT+0530 (India Standard Time),"-","-"
